Model Index;CP Tag;Type;Dataset;Phase
1;CP285;MP;REG;PH1
1;CP282;MP;REG;PH2
1;CP298;MP;REG;PH3
2;CP294;MP;REG;PH1
2;CP533;MP;REG;PH2
2;CP534;MP;REG;PH3
3;CP284;MP;REG;PH1
3;CP281;MP;REG;PH2
3;CP299;MP;REG;PH3
4;CP291;MP;REG;PH1
4;CP262;MP;REG;PH2
4;CP297;MP;REG;PH3
5;CP143;MP;REG;PH1
5;CP530;MP;REG;PH2
5;CP532;MP;REG;PH3
6;CP464;MP;REG;PH1
6;CP571;MP;REG;PH2
6;CP576;MP;REG;PH3
7;CP465;MP;REG;PH1
7;CP572;MP;REG;PH2
7;CP577;MP;REG;PH3
8;CP568;MP;REG;PH1
8;CP573;MP;REG;PH2
8;CP578;MP;REG;PH3
9;CP569;MP;REG;PH1
9;CP574;MP;REG;PH2
9;CP579;MP;REG;PH3
10;CP570;MP;REG;PH1
10;CP575;MP;REG;PH2
10;CP580;MP;REG;PH3
